"Tabela 7060 - IPCA - Variação mensal, acumulada no ano, acumulada em 12 meses e peso mensal, para o índice geral, grupos, subgrupos, itens e subitens de produtos e serviços (a partir de janeiro/2020)"
"Mês","Geral, grupo, subgrupo, item e subitem","","Variável"
"Mês","Geral, grupo, subgrupo, item e subitem","","IPCA - Variação mensal (%)","IPCA - Variação acumulada no ano (%)","IPCA - Variação acumulada em 12 meses (%)","IPCA - Peso mensal (%)"
"janeiro 2022","3301022.Reforma de estofado","Brasil","0.56","0.56","10.49","0.0452"
"janeiro 2022","3301088.Conserto de aparelho celular","Brasil","0.23","0.23","3.13","0.0628"
"janeiro 2022","3301130.Conserto de bicicleta","Brasil","1.01","1.01","9.82","0.1950"
"janeiro 2022","4.Vestuário","Brasil","1.07","1.07","11.58","4.3370"
"janeiro 2022","41.Roupas","Brasil","1.11","1.11","11.64","2.9371"
"janeiro 2022","4101.Roupa masculina","Brasil","1.64","1.64","14.16","1.0650"
"janeiro 2022","4101002.Calça comprida masculina","Brasil","0.94","0.94","12.32","0.2866"
"janeiro 2022","4101005.Agasalho masculino","Brasil","-0.57","-0.57","12.25","0.0207"
"janeiro 2022","4101006.Bermuda/short masculino","Brasil","1.58","1.58","11.80","0.1742"
"janeiro 2022","4101008.Cueca","Brasil","2.01","2.01","15.66","0.0073"
"janeiro 2022","4101009.Camisa/camiseta masculina","Brasil","2.07","2.07","15.88","0.5762"
"janeiro 2022","4102.Roupa feminina","Brasil","0.78","0.78","10.78","1.2816"
"janeiro 2022","4102002.Calça comprida feminina","Brasil","-0.30","-0.30","9.15","0.2982"
"janeiro 2022","4102003.Agasalho feminino","Brasil","0.15","0.15","7.59","0.0228"
"janeiro 2022","4102004.Saia","Brasil","2.24","2.24","5.40","0.0082"
"janeiro 2022","4102005.Vestido","Brasil","1.39","1.39","10.57","0.2789"
"janeiro 2022","4102008.Blusa","Brasil","1.08","1.08","12.79","0.5004"
"janeiro 2022","4102010.Lingerie","Brasil","1.02","1.02","9.69","0.1081"
"janeiro 2022","4102013.Bermuda/short feminino","Brasil","0.50","0.50","7.72","0.0651"
"janeiro 2022","4103.Roupa infantil","Brasil","0.87","0.87","9.10","0.5905"
"janeiro 2022","4103001.Uniforme escolar","Brasil","1.88","1.88","9.79","0.0838"
"janeiro 2022","4103002.Calça comprida infantil","Brasil","1.14","1.14","9.42","0.0713"
"janeiro 2022","4103005.Agasalho infantil","Brasil","-0.93","-0.93","5.99","0.0073"
"janeiro 2022","4103007.Vestido infantil","Brasil","0.44","0.44","6.41","0.0517"
"janeiro 2022","4103008.Bermuda/short infantil","Brasil","1.67","1.67","10.11","0.0539"
"janeiro 2022","4103011.Camisa/camiseta infantil","Brasil","1.29","1.29","8.99","0.1866"
"janeiro 2022","4103031.Conjunto infantil","Brasil","-0.54","-0.54","9.44","0.1359"
"janeiro 2022","42.Calçados e acessórios","Brasil","0.97","0.97","11.35","1.1182"
